
|N   |clock_time|AVERAGE_OB    |MAX_OB  |MIN_OB  |
|1866|0.045925  |866555.900000 |880970  |847344  |
|1868|0.042164  |876286.800000 |905249  |852908  |
|1870|0.076592  |879476.800000 |899050  |853997  |
|1872|0.044533  |877731.700000 |892594  |857320  |
|1874|0.045085  |876732.700000 |894665  |864878  |
|1876|0.041772  |882454.700000 |901659  |858090  |
|1878|0.041108  |888171.300000 |899040  |867003  |
|1880|0.041875  |887948.800000 |908712  |868766  |
|1882|0.041407  |883584.300000 |910120  |866583  |
|1884|0.047501  |890323.200000 |920567  |862656  |
|1886|0.042101  |888531.300000 |917658  |867411  |
|1888|0.052669  |887985.700000 |903947  |861825  |
|1890|0.052941  |896573.700000 |917319  |881498  |
|1892|0.043996  |893706.300000 |916699  |877014  |
|1894|0.054209  |892080.800000 |915059  |872277  |
|1896|0.050620  |902338.500000 |932376  |885417  |
|1898|0.053661  |898207.300000 |910351  |885244  |
|1900|0.050852  |903538.700000 |925833  |868061  |
|1902|0.045561  |907258.600000 |929982  |872422  |
|1904|0.051355  |912335.500000 |931683  |882893  |
|1906|0.066358  |913510.300000 |933802  |887914  |
|1908|0.045166  |912998.900000 |933525  |902677  |
|1910|0.043701  |906445.900000 |919806  |888020  |
|1912|0.046403  |919613.900000 |950800  |906994  |
|1914|0.046152  |912669.600000 |942014  |892077  |
|1916|0.045608  |916989.000000 |947512  |891693  |
|1918|0.043651  |911825.700000 |922156  |887750  |
|1920|0.043687  |920367.800000 |939570  |906183  |
|1922|0.044196  |918187.600000 |929977  |900015  |
|1924|0.044381  |927440.600000 |951236  |899025  |
|1926|0.045626  |921772.000000 |940511  |884172  |
|1928|0.045166  |923810.700000 |938323  |903630  |
|1930|0.061746  |931526.100000 |953377  |906070  |
|1932|0.044640  |929167.200000 |943171  |908427  |
|1934|0.046191  |931139.500000 |960259  |908684  |
|1936|0.046303  |944209.500000 |969071  |906739  |
|1938|0.046739  |934886.300000 |955593  |921770  |
|1940|0.056970  |941837.500000 |968835  |915252  |
|1942|0.055271  |947450.000000 |966805  |930527  |
|1944|0.070027  |952259.700000 |963719  |931575  |
|1946|0.044964  |957921.700000 |978822  |929668  |
|1948|0.047410  |949404.600000 |963309  |934169  |
|1950|0.045544  |954339.600000 |970004  |932716  |
